                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.7033,                 10.587,                 3.5629,                0.00025,                0.05376,                0.00146,                0.00045,                 4.8865,                 6.5923,                 3.8065,              0.0004127,              0.0004127,              0.0004127
                      2,                  2.539,                 4.2748,                 2.0127,                0.63489,                0.17529,                0.13099,                0.06127,                 2.2815,                 7.1195,                 1.9451,             0.00078831,             0.00078831,             0.00078831
                      3,                 1.9786,                 2.7309,                 1.5201,                0.51131,                0.28065,                0.30492,                0.16206,                 1.7656,                 2.4817,                 1.4286,              0.0011227,              0.0011227,              0.0011227
                      4,                 1.7497,                 2.1128,                 1.3671,                0.58237,                0.50292,                0.55649,                0.39384,                 1.2716,                 1.4172,                  1.209,              0.0010644,              0.0010644,              0.0010644
                      5,                 1.5512,                 1.6434,                  1.254,                 0.6107,                0.54065,                0.60296,                 0.4077,                  1.378,                  4.249,                 1.2019,              0.0010025,              0.0010025,              0.0010025
                      6,                 1.4144,                 1.3961,                 1.1762,                 0.7109,                0.68484,                0.71612,                0.48896,                 1.2034,                 1.1271,                 1.1322,             0.00094062,             0.00094062,             0.00094062
                      7,                 1.3056,                 1.1613,                 1.1094,                0.87677,                0.77234,                0.82053,                 0.5937,                  1.188,                0.91314,                 1.0872,             0.00087875,             0.00087875,             0.00087875
                      8,                 1.2245,                  1.024,                 1.0942,                0.91805,                0.74747,                0.83967,                0.63181,                 1.0089,                 0.8135,                 1.0438,             0.00081688,             0.00081688,             0.00081688
                      9,                 1.1598,                0.91697,                 1.0655,                0.89606,                0.79541,                0.84995,                  0.666,                0.98145,                0.75821,                 1.0197,               0.000755,               0.000755,               0.000755
                     10,                 1.1102,                0.87539,                 1.0449,                 0.9367,                 0.8166,                0.87872,                 0.6894,                0.91383,                0.65067,                0.99755,             0.00069313,             0.00069313,             0.00069313
                     11,                  1.055,                0.79149,                 1.0189,                0.89759,                0.78731,                0.85973,                0.65614,                 1.0269,                0.76315,                 1.0155,             0.00063125,             0.00063125,             0.00063125
                     12,                 1.0199,                0.76184,                 1.0123,                0.96895,                0.80219,                0.89341,                0.69911,                0.91994,                0.66343,                0.98346,             0.00056938,             0.00056938,             0.00056938
                     13,                  1.029,                0.71938,                 1.0172,                0.96752,                0.79777,                0.89205,                0.70747,                0.90445,                0.61864,                0.97277,              0.0005075,              0.0005075,              0.0005075
                     14,                0.97848,                0.67119,                0.99501,                0.95923,                0.82282,                0.88664,                0.70022,                0.87471,                0.58801,                0.95856,             0.00044563,             0.00044563,             0.00044563
                     15,                0.92804,                0.61505,                0.97999,                0.93693,                0.81114,                0.88663,                0.69946,                0.91822,                0.65122,                0.97185,             0.00038375,             0.00038375,             0.00038375
                     16,                0.88795,                0.57182,                 0.9541,                0.97954,                0.81539,                 0.9006,                0.72565,                0.82156,                0.56133,                0.94331,             0.00032188,             0.00032188,             0.00032188
                     17,                0.89928,                0.59654,                0.95969,                 0.9568,                 0.8376,                0.91448,                0.71648,                0.89344,                 0.5501,                0.94735,                0.00026,                0.00026,                0.00026
                     18,                0.84712,                0.53315,                0.93456,                0.99339,                0.82955,                0.89929,                0.74379,                0.77022,                0.54295,                0.92184,             0.00019813,             0.00019813,             0.00019813
                     19,                 0.8623,                0.52682,                0.94414,                0.92134,                0.87616,                0.91915,                0.73882,                0.83765,                0.50824,                0.93347,             0.00013625,             0.00013625,             0.00013625
                     20,                0.81609,                0.48901,                0.92455,                0.95343,                0.84531,                0.92389,                0.76836,                0.76168,                0.48886,                0.92085,             7.4375e-05,             7.4375e-05,             7.4375e-05
